ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;POSITIF;Dirawat;Sembuh;Meninggal;mortality_rate;recovery_rate
3174041001;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;PASAR MINGGU;2965;6;2887;51;0,017200675;0,973693086
3171041003;DKI JAKARTA;JAKARTA PUSAT;SENEN;PASEBAN;2583;4;2531;37;0,014324429;0,97986837
3173061005;DKI JAKARTA;JAKARTA BARAT;KALI DERES;PEGADUNGAN;4508;12;4415;59;0,013087844;0,979370009
3171061002;DKI JAKARTA;JAKARTA PUSAT;MENTENG;PEGANGSAAN;1989;4;1930;49;0,024635495;0,970336853
3172061002;DKI JAKARTA;JAKARTA UTARA;KELAPA GADING;PEGANGSAAN DUA;4473;5;4380;69;0,015425889;0,979208585
3172011004;DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;PEJAGALAN;6093;8;5964;79;0,012965698;0,978828163
3174041006;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;PEJATEN BARAT;3489;5;3403;54;0,015477214;0,975351103
3174041005;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;PEJATEN TIMUR;3816;5;3698;93;0,024371069;0,969077568
3175051005;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;PEKAYON;3321;1;3269;47;0,014152364;0,984342066
3173041009;DKI JAKARTA;JAKARTA BARAT;TAMBORA;PEKOJAN;1827;1;1783;33;0,018062397;0,975916804
3174031003;DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;PELA MAMPANG;4014;3;3907;66;0,016442451;0,973343298
3174081005;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;PENGADEGAN;2216;1;2159;38;0,017148014;0,974277978
3175061003;DKI JAKARTA;JAKARTA TIMUR;CAKUNG;PENGGILINGAN;5600;2;5477;107;0,019107143;0,978035714
3172011001;DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;PENJARINGAN;4774;11;4665;68;0,014243821;0,977167993
3174101001;DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;PESANGGRAHAN;2457;6;2402;34;0,013838014;0,977614978
3171071004;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;PETAMBURAN;2417;2;2356;53;0,02192801;0,974762102
3174071008;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;PETOGOGAN;1105;4;1071;15;0,013574661;0,969230769
3171011004;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;PETOJO SELATAN;1707;1;1668;25;0,014645577;0,9771529
3171011003;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;PETOJO UTARA;1463;4;1417;24;0,016404648;0,968557758
3174101004;DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;PETUKANGAN SELATAN;2861;1;2813;34;0,011883957;0,983222649
3174101003;DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;PETUKANGAN UTARA;4021;6;3945;47;0,011688635;0,981099229
3175081002;DKI JAKARTA;JAKARTA TIMUR;MAKASAR;PINANG RANTI;2364;6;2314;40;0,016920474;0,978849408
3173031008;DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;PINANGSIA;819;7;795;10;0,012210012;0,970695971
3175011001;DKI JAKARTA;JAKARTA TIMUR;MATRAMAN;PISANGAN BARU;2554;4;2493;46;0,018010963;0,976115897
3175021002;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;PISANGAN TIMUR;3380;4;3320;48;0,014201183;0,982248521
3172011005;DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;PLUIT;4203;6;4105;46;0,010944563;0,976683321
3175071002;DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;PONDOK BAMBU;5580;6;5444;108;0,019354839;0,97562724
3175071004;DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;PONDOK KELAPA;5439;8;5314;98;0,018018018;0,977017834
3175071007;DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;PONDOK KOPI;2544;0;2480;63;0,024764151;0,974842767
3174061003;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;PONDOK LABU;3880;9;3793;60;0,015463918;0,97757732
3174051002;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;PONDOK PINANG;4844;18;4720;74;0,015276631;0,974401321
3175101003;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;PONDOK RANGGON;2784;0;2758;18;0,006465517;0,99066092
